INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:115793300, avg:82837754, best:556761300)
INFO:root:episode     0 complete - reward(new:68780400, avg:82697180, best:556761300)
INFO:root:episode     0 complete - reward(new:13120000, avg:82001408, best:556761300)
INFO:root:episode     0 complete - reward(new:206705800, avg:83248452, best:556761300)
INFO:root:episode     0 complete - reward(new:115830200, avg:83574270, best:556761300)
INFO:root:episode     0 complete - reward(new:5126700, avg:82789794, best:556761300)
INFO:root:episode     0 complete - reward(new:143672200, avg:83398618, best:556761300)
INFO:root:episode     0 complete - reward(new:12504300, avg:82689675, best:556761300)
INFO:root:episode     0 complete - reward(new:28228500, avg:82145063, best:556761300)
INFO:root:episode     0 complete - reward(new:10621700, avg:81429830, best:556761300)
INFO:root:episode     0 complete - reward(new:82421200, avg:81439743, best:556761300)
INFO:root:episode     0 complete - reward(new:56006600, avg:81185412, best:556761300)
INFO:root:episode     0 complete - reward(new:86760400, avg:81241162, best:556761300)
INFO:root:episode     0 complete - reward(new:118976400, avg:81618514, best:556761300)
INFO:root:episode     0 complete - reward(new:139220600, avg:82194535, best:556761300)
INFO:root:episode     0 complete - reward(new:10664000, avg:81479230, best:556761300)
INFO:root:episode     0 complete - reward(new:250751100, avg:83171948, best:556761300)
INFO:root:episode     0 complete - reward(new:490477000, avg:87244999, best:556761300)
INFO:root:episode     0 complete - reward(new:164835200, avg:88020901, best:556761300)
INFO:root:episode     0 complete - reward(new:200937800, avg:89150070, best:556761300)
INFO:root:episode     0 complete - reward(new:12233300, avg:88380902, best:556761300)
INFO:root:episode     0 complete - reward(new:8864500, avg:87585738, best:556761300)
INFO:root:episode     0 complete - reward(new:75803100, avg:87467912, best:556761300)
INFO:root:episode     0 complete - reward(new:119389600, avg:87787129, best:556761300)
INFO:root:episode     0 complete - reward(new:51652300, avg:87425780, best:556761300)
INFO:root:episode     0 complete - reward(new:64631500, avg:87197838, best:556761300)
INFO:root:episode     0 complete - reward(new:249144500, avg:88817304, best:556761300)
INFO:root:episode     0 complete - reward(new:44886000, avg:88377991, best:556761300)
INFO:root:episode     0 complete - reward(new:4658700, avg:87540798, best:556761300)
INFO:root:episode     0 complete - reward(new:41785100, avg:87083241, best:556761300)
INFO:root:episode     0 complete - reward(new:109447000, avg:87306879, best:556761300)
INFO:root:episode     0 complete - reward(new:107471000, avg:87508520, best:556761300)
INFO:root:episode     0 complete - reward(new:109392700, avg:87727362, best:556761300)
INFO:root:episode     0 complete - reward(new:8912800, avg:86939216, best:556761300)
INFO:root:episode     0 complete - reward(new:174402700, avg:87813851, best:556761300)
INFO:root:episode     0 complete - reward(new:12945700, avg:87065170, best:556761300)
INFO:root:episode     0 complete - reward(new:251516400, avg:88709682, best:556761300)
INFO:root:episode     0 complete - reward(new:69176200, avg:88514347, best:556761300)
INFO:root:episode     0 complete - reward(new:35653100, avg:87985735, best:556761300)
INFO:root:episode     0 complete - reward(new:177541800, avg:88881295, best:556761300)
INFO:root:episode     0 complete - reward(new:47595900, avg:88468441, best:556761300)
INFO:root:episode     0 complete - reward(new:67323800, avg:88256995, best:556761300)
INFO:root:episode     0 complete - reward(new:55801800, avg:87932443, best:556761300)
INFO:root:episode     0 complete - reward(new:164368400, avg:88696802, best:556761300)
INFO:root:episode     0 complete - reward(new:123813600, avg:89047970, best:556761300)
INFO:root:episode     0 complete - reward(new:9844300, avg:88255934, best:556761300)
INFO:root:episode     0 complete - reward(new:7280400, avg:87446178, best:556761300)
INFO:root:episode     0 complete - reward(new:93268100, avg:87504398, best:556761300)
INFO:root:episode     0 complete - reward(new:48584900, avg:87115203, best:556761300)
INFO:root:episode     0 complete - reward(new:7257400, avg:86316625, best:556761300)
INFO:root:episode     0 complete - reward(new:148461300, avg:86938071, best:556761300)
INFO:root:episode     0 complete - reward(new:100124300, avg:87069934, best:556761300)
